GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_NAME_LABEL,SEASON_START_YEAR,ERA,RESULT,CALC_DISTANCE_FT,PLAYER
Shot Chart Detail,22500002,626,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,4,50,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,27.0,16.0,1,1,20251021,LAL,GSW,Luka Dončić,2025,LAL,Made,3.138470965295043,Luka Dončić
Shot Chart Detail,22500002,669,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,1,22,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,28.0,46.0,1,1,20251021,LAL,GSW,Luka Dončić,2025,LAL,Made,5.385164807134504,Luka Dončić
Shot Chart Detail,22500002,685,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,0,35,Missed Shot,Fadeaway Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-227.0,22.0,1,0,20251021,LAL,GSW,Luka Dončić,2025,LAL,Missed,22.806358762415364,Luka Dončić
Shot Chart Detail,22500012,93,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,4,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,13.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,2.4698178070456938,Luka Dončić
Shot Chart Detail,22500012,115,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,2,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29.0,-100.0,274.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,29.16779045454078,Luka Dončić
Shot Chart Detail,22500012,238,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,5,41,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12.0,64.0,107.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,12.467958934805647,Luka Dončić
Shot Chart Detail,22500012,244,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,4,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-6.0,262.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,26.206869328479506,Luka Dončić
Shot Chart Detail,22500012,252,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,3,44,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,25.0,259.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,26.020376630633155,Luka Dončić
Shot Chart Detail,22500012,259,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,2,48,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-210.0,163.0,1,0,20251225,LAL,HOU,Luka Dončić,2025,LAL,Missed,26.58364158650955,Luka Dončić
Shot Chart Detail,22500012,275,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,2,21,Made Shot,Fadeaway Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10.0,81.0,59.0,1,1,20251225,LAL,HOU,Luka Dončić,2025,LAL,Made,10.020977996183806,Luka Dončić
